,supplier,tariff_name,supply_region,plan_type,discount,duration,standing_charge,el_pso_levy,day_unit,peak_unit,night_unit,ev_unit,ev_overage_unit,ev_kwh_limit,fit_unit,extra,cash_bonus,update_date,gas_discount,gas_standing_charge,gas_unit_rate,gas_carbon_tax
32,FloGas,NS-DN Dual Fuel 30% Discount,urban dual,day/night,0.3000,12 months,331.327300,42.248400,28.8642900000,28.8642900000,13.9857900000,,,,18.5000,[],60.004500,2025-06-10,0.3000,151.193900,7.8665300000,1.251320
33,FloGas,NS-DN Dual Fuel 30% Discount,rural dual,day/night,0.3000,12 months,422.233300,42.248400,28.8642900000,28.8642900000,13.9857900000,,,,18.5000,[],60.004500,2025-06-10,0.3000,151.193900,7.8665300000,1.251320
60,Energia,NS-DN Electricity Day Night,urban,day/night,0.2900,12 months,296.403700,42.248400,29.6403700000,29.6403700000,14.2165430000,,,,20.0000,[],0.000000,2025-08-07,,,,
61,Energia,NS-DN Electricity Day Night,rural,day/night,0.2900,12 months,377.063700,42.248400,29.6403700000,29.6403700000,14.2165430000,,,,20.0000,[],0.000000,2025-08-07,,,,
18,Bord Gais,NS-DN Electricity Discount,urban,day/night,0.3200,12 months,356.026700,42.248400,26.7943800000,26.7943800000,13.2600680000,,,,18.5000,[],0.000000,2025-04-09,,,,
19,Bord Gais,NS-DN Electricity Discount,rural,day/night,0.3200,12 months,356.026700,42.248400,27.3132200000,27.3132200000,13.4972520000,,,,18.5000,[],0.000000,2025-04-09,,,,
40,FloGas,NS-DN Electricity Standard Rate,urban,day/night,0.0000,No contract,331.327300,42.248400,41.2347000000,41.2347000000,19.9797000000,,,,18.5000,[],0.000000,2025-06-10,,,,
41,FloGas,NS-DN Electricity Standard Rate,rural,day/night,0.0000,No contract,422.233300,42.248400,41.2347000000,41.2347000000,19.9797000000,,,,18.5000,[],0.000000,2025-06-10,,,,
134,Electric Ireland,NS-DN Energysaver 30%,urban,day/night,0.2600,12 months,328.580500,42.248400,27.4566640000,27.4566640000,13.5428140000,,,,19.5000,[],0.000000,2025-04-02,,,,
135,Electric Ireland,NS-DN Energysaver 30%,rural,day/night,0.2600,12 months,400.476900,42.248400,27.4566640000,27.4566640000,13.5428140000,,,,19.5000,[],0.000000,2025-04-02,,,,
152,Electric Ireland,NS-DN EnergySaver Dual NightSaver 28%,urban dual,day/night,0.2800,12 months,328.580500,42.248400,26.7145920000,26.7145920000,13.1767920000,,,,19.5000,[],49.998300,2025-04-02,0.2800,155.957200,8.3816640000,1.251320
153,Electric Ireland,NS-DN EnergySaver Dual NightSaver 28%,rural dual,day/night,0.2800,12 months,400.476900,42.248400,26.7145920000,26.7145920000,13.1767920000,,,,19.5000,[],49.998300,2025-04-02,0.2800,155.957200,8.3816640000,1.251320
